index,image_link,group_id,entity_name,entity_value,extracted_text,prediction
297,https://m.media-amazon.com/images/I/71Yl8r0WgHL.jpg,120219,maximum_weight_recommendation,12.0 ounce," 

 

 
",
412,https://m.media-amazon.com/images/I/61L4wjI4YEL.jpg,120219,maximum_weight_recommendation,6.0 ton," 
",
754,https://m.media-amazon.com/images/I/61bh39XwruL.jpg,120219,maximum_weight_recommendation,65.0 ton," 

75 cm

eee eeeeeeeew eee ee ND eee

 

@ Befestigen ohne bohren

@ Hohenverstellbar
zwischen 65 bis 275 cm

@ Fixing without drilling
@ Height adjustable from
65 to 275 cm
",
652,https://m.media-amazon.com/images/I/61X1Jri6F0L.jpg,120569,item_weight,250 gram," 

 
",
143,https://m.media-amazon.com/images/I/414maJ3RUML.jpg,120569,item_weight,25 kilogram,"  
 

grrowar

 
",
973,https://m.media-amazon.com/images/I/618l4mIrQ-L.jpg,120569,item_weight,20 kilogram,"Supplement Facts

 

 

 

 

 

CONTAINS:

8.0 %
Phosphorus 6.6 %
Magnesium 0.2 %
Vitamin D3 .. 4200 IU
Vitamin B12... + 20meg
Thiamine hydrochloride (vist) ... 3 mg/kg
Nicotinamide (Vit.B3) .......secseseeee 21 mg/kg
Vitamin CC... » 150 mg
Excipients ... as.

Feeding Recommendations:

 

Upto 20kg body wt. - 1 to 2 tablets
More than 20kg body wt. - 2 to 4 tablets
or as recommended by the veterinarian.

BEST BEFORE 24 MONTHS FROM MFD.
","3.0 milligram, 21.0 milligram, 150.0 milligram, 20.0 kilogram"
178,https://m.media-amazon.com/images/I/71bA7Tj2y5L.jpg,120569,item_weight,15.0 kilogram,"GUIA DE DOSIS DIARIA

PEQUENO SE

(HASTA 15KG) (HASTA 30KG)

~

Sy ae VA S| BS
POR DIA ean).

G
rH

3 PASTILLAS
POR DIA

 
","3.0 milligram, 21.0 milligram, 150.0 milligram, 20.0 kilogram, 15.0 kilogram, 30.0 kilogram"
579,https://m.media-amazon.com/images/I/91CowFswP-L.jpg,130591,item_weight,661.0 pound,"   

|

 
",
842,https://m.media-amazon.com/images/I/51IO9sPn3NL.jpg,130591,item_weight,750.0 gram,"jlocm/4in |

iz a
28cm
/11in

_——

200cm/78.8in

   

63cm/24.8in

 

 

14cm/5.5in
",
356,https://m.media-amazon.com/images/I/71iifNw7WkL.jpg,132401,item_weight,165.0 pound,"Hemorrhoids Care Cushion

Don't worry about hemorrhoid pain if you sit for a long time,
and extra large, better wrapping the buttocks

leigh (=165 pounds)

46.9inch

    
 

 

Breathable fabric

15.4inch

 

Hollow design, circulation and ventilation
relieve hemorrhoid pain
",165.0 pound
950,https://m.media-amazon.com/images/I/71GplQHvFHL.jpg,140266,voltage,5.0 volt,"BUILT-IN POWERBANK

4400mAh High-capacity
Keep your devices charged on the job.
© Charging Time: 6 HOURS

Ee ir! WG : 4.5~14 HOURS

    

 

 
  

Power Adapter

   

INPUT USB-C Car Charge

 

Power Bank

 
",
453,https://m.media-amazon.com/images/I/61Kzp6mUyDL.jpg,140266,voltage,230.0 volt," 
",
464,https://m.media-amazon.com/images/I/51bvN6sQJZL.jpg,145452,item_weight,328.0 gram,"GUARANTEED

12 Month manufacturing warranty

Height
260mm

onegreenbottle.com
ecobotl.com

Boe
#289 bcll
Diameter CG
70mm

 
",
11,https://m.media-amazon.com/images/I/81N73b5khVL.jpg,149159,item_weight,30.0 kilogram,"GroBe Kapazitat, Tiragfahigkeit bis zu 30KG

4m. Das Material ist ca. 5mm dick und die Fugen sind verstarkt, so dass
W es sehr stark ist.

Tragfahigkeit bis zu 30KG, kann eine Vielzahl von Gegenstanden j

O
A aufnehmen.

 

=

 
","30.0 kilogram, 30.0 kilogram"
664,https://m.media-amazon.com/images/I/61SjSrquWnL.jpg,150913,item_weight,15.7 kilogram," 
",
198,https://m.media-amazon.com/images/I/71d+dz7ogkL.jpg,150913,maximum_weight_recommendation,15 kilogram," 
",
441,https://m.media-amazon.com/images/I/616AZ2LXWAL.jpg,150913,item_weight,12.3 kilogram,"VY"" Jeasurements
SWIFT* DUO

102 cm

 
",
704,https://m.media-amazon.com/images/I/81wg1ednG8L.jpg,152057,item_weight,22.0 gram,"  
   
 
 

Nutrition Fac
Serving Size: 4 slice (22g)
Servings per container: about!

Amount Per Serving

Calories {00 Calories from Fat’
% Daily Valw

  
   
 
 

Total Fat 89
Saturated Fat 5g
Trans Fat Og
Cholestero| 25mg 9)
Sodium 340mg
| Total Carbohydrate <1g
Dietary Fiber Og 0%
__ Sugars 0g

' rotein 5g

  
    
  
   

uitamin 6% © Vitamin CLA
e 1 Z o
Calcium 15% © |ron Po

rcent D- ly Values are based one 4,000
calorie dict Your daily values may | 2 higher or
lower dene nei; | ON your calorie needs:
ae Calories © 900 2,500_
Tota Less thar 05g 80g

Sat

r Less th’. 20g 259
Chol

2 Less nan 30  20unn0
Sodiv'in Lessthan 2.4007 4 2,400n9
Total Carbohyrirate ° gag
Dietary Fit -, pO 30g

 

S— ae ae
Calories per © am: .
rat9 ¢€ Carbohydrate 4 @ Protein 4
OO
","22.0 gram, 5.0 gram, 25.0 milligram, 340.0 milligram, 1.0 gram, 0.0 gram, 5.0 gram, 5.0 gram, 80.0 gram, 20.0 gram, 30.0 gram"
703,https://m.media-amazon.com/images/I/91k8WfFJKFL.jpg,152057,item_weight,199.0 gram,"AABDAAARS 23,

RESEALABLE

4 —__——_ iss a

 

Americaii Cheest
Udderly the Best!”

(4 J \N u
: No coms” oie TED Paes 1 GROW! HAG DNL oj
NO ANIM? . By-7 Oo |:

 

yor _
","22.0 gram, 5.0 gram, 25.0 milligram, 340.0 milligram, 1.0 gram, 0.0 gram, 5.0 gram, 5.0 gram, 80.0 gram, 20.0 gram, 30.0 gram"
248,https://m.media-amazon.com/images/I/71kKyflqh-L.jpg,178958,maximum_weight_recommendation,7 kilogram,"LIVINGBASICS

Serves All Your Storage Needs

No Tools
Required

Weight Handling
Weight Handling eyelid
erTer- Tota ae Extended
Not Extended CATA EL te lic to)

 
",
461,https://m.media-amazon.com/images/I/81Lk7YnVq6L.jpg,179080,wattage,250.0 watt,"GroRe Nabe
burstenlos |,
Motor |

  
      

60N.M -

48V250W

  
",250.0 watt
161,https://m.media-amazon.com/images/I/61vdMgkasML.jpg,179080,item_weight,70.5 pound," 

 

Recommended height
ign

5°3""-6'3

Bicycle weight
ih 70.5LBS

@ Load capacity
MAX 330LBS

 
","70.5 pound, 330.0 pound"
949,https://m.media-amazon.com/images/I/71OEmk050TL.jpg,179080,voltage,48.0 volt,"   
  
  
 
  
 

CITY ELECTRIC BIKE
250W 48v MOTOR
GEARED MOTOR
25KM/H TOP SPEED »..Sel
MAXIMUM
CRUISING RANGE
80-90 KILOMETER
CHARGING TAKES
4-6 HOURS

 
 
    
  
",48.0 volt
426,https://m.media-amazon.com/images/I/71pvXAM5PWL.jpg,179080,voltage,36.0 volt,"  

Top Speed
",48.0 volt
427,https://m.media-amazon.com/images/I/71pvXAM5PWL.jpg,179080,wattage,250.0 watt,"  

Top Speed
",250.0 watt
49,https://m.media-amazon.com/images/I/817vo3DcCNL.jpg,179080,wattage,250.0 watt," 

KOMFO Sita -

cm,

  

\ , ’ | am yp "">

DAS HERZSTUCK: EE

STARKER UND EFFIZIENTER MOTOR FUR ANGENEHMEN FAHRKOMFORT

KRAFTVOLLE UND EFFIZIENTE EXTREM LEISER UND UNGLAUBLICHES DREHMOMENT
UNTERSTUTZUNG BIS LEISTUNGSSTARKER MOTOR MIT VON

25 KM/H 250 W 45 NM
",250.0 watt
425,https://m.media-amazon.com/images/I/71LlzAFiptL.jpg,179080,voltage,36.0 volt," 

Cycle 1000 times Detachable 40-50 rar Ci eS TOT

© 36V 10.4 AH Battery
","48.0 volt, 36.0 volt"
743,https://m.media-amazon.com/images/I/71im-qgSuNL.jpg,179080,item_weight,24.5 kilogram," 

©©OGO060686

 

 

 

Handlebar Width
Top Tube Length
Head Tube Length
Handlebar Height
Max. Seat Height
Mini. Seat Height
Mateo ef

Total Length

24,5 KG

Bicycle Weight

160-190 cm

Recommended Height

MAX 120 KG

Load Capacity

 

 
","70.5 pound, 330.0 pound, 5.0 kilogram, 120.0 kilogram"
37,https://m.media-amazon.com/images/I/61o2ntPNNgL.jpg,179080,wattage,800.0 watt,"   

7 FREEWHEELS 800W 36V
GABEL MINDESTBREITE 135MM

* HINTERRAD MIT BRUSHLESS MOTOR
","250.0 watt, 800.0 watt"
555,https://m.media-amazon.com/images/I/6136jV+MAhL.jpg,179080,item_weight,10.3 kilogram,"MLA

Bicycle
HAWK 14""

Black/Orange
GER005bo-14

 

1 pesictn
CTNSIZE: 81X18X43 cM
NW: 9.3 KGS
G.w. 10.3 KGS

 

PO000335/202003
MADE IN CHINA

~

 
","70.5 pound, 330.0 pound, 5.0 kilogram, 120.0 kilogram"
641,https://m.media-amazon.com/images/I/71yMHX+ppyL.jpg,179080,wattage,500.0 watt,"ecole high speed front drive motor

 
","250.0 watt, 800.0 watt"
642,https://m.media-amazon.com/images/I/71yMHX+ppyL.jpg,179080,voltage,48.0 volt,"ecole high speed front drive motor

 
","48.0 volt, 36.0 volt"
343,https://m.media-amazon.com/images/I/51zeZBf-HcL.jpg,179080,voltage,36.0 volt,"  

i) @
DCCL 35-70KM eM TT

® Bateria de 36V-8AH
","48.0 volt, 36.0 volt"
25,https://m.media-amazon.com/images/I/71nywfWZUwL.jpg,179080,item_weight,4.1 kilogram,"  
  

9.10m/3.58%

 

Type
Battery Cell
fj Charger

tH Charger Output Current

= USB port

G) BMS

a Battery Weight

1TSAN
ABN 17.BNy VOW ern! 2 sic

    
  
  
 

Downtube Battery

13Ah: 2500m-A-h
17.5Ah: Sam-sung/L-G/Cell
3500mAh Send it randomly

Vv

A8V 13Ah (2A)
A8V 17.5Ah (4A)

Vv

30A

AKG / 44KG
","70.5 pound, 330.0 pound, 5.0 kilogram, 120.0 kilogram, 44.0 kilogram"
26,https://m.media-amazon.com/images/I/71nywfWZUwL.jpg,179080,voltage,48.0 volt,"  
  

9.10m/3.58%

 

Type
Battery Cell
fj Charger

tH Charger Output Current

= USB port

G) BMS

a Battery Weight

1TSAN
ABN 17.BNy VOW ern! 2 sic

    
  
  
 

Downtube Battery

13Ah: 2500m-A-h
17.5Ah: Sam-sung/L-G/Cell
3500mAh Send it randomly

Vv

A8V 13Ah (2A)
A8V 17.5Ah (4A)

Vv

30A

AKG / 44KG
","48.0 volt, 36.0 volt, 8.0 volt"
38,https://m.media-amazon.com/images/I/61o2ntPNNgL.jpg,179080,voltage,36.0 volt,"   

7 FREEWHEELS 800W 36V
GABEL MINDESTBREITE 135MM

* HINTERRAD MIT BRUSHLESS MOTOR
","48.0 volt, 36.0 volt, 8.0 volt"
521,https://m.media-amazon.com/images/I/1yw53vfQtS.jpg,179080,voltage,25.0 volt,,"48.0 volt, 36.0 volt, 8.0 volt"
509,https://m.media-amazon.com/images/I/71W7WvEFKhL.jpg,179080,voltage,36.0 volt,"BBS01B 36V 250W

cP.
Doe Ce

BBS01B 36v 250W

 
","48.0 volt, 36.0 volt, 8.0 volt"
738,https://m.media-amazon.com/images/I/812lr7CRloL.jpg,179080,wattage,250.0 watt," 

PIEAK UIP TO 400W

STRONG 250W MOTOR
","250.0 watt, 800.0 watt, 400.0 watt"
952,https://m.media-amazon.com/images/I/71XofISRPKL.jpg,180410,item_weight,335.0 gram,"SPECIFICATIONS

 

 

 

 

Color Gray, Black
Material Plastic
Large Capacity Hold About 500 Business Cards
Size 9.36x4.68x2.92 inch
Weight 335g

 

75mm /
2.92 inch

 

 
",335.0 gram
506,https://m.media-amazon.com/images/I/716moDrkaoL.jpg,181357,item_weight,12.0 pound," 
",
723,https://m.media-amazon.com/images/I/716eknov7+L.jpg,186035,voltage,"[11.0, 17.0] volt"," 

AC Outlet 230V Cigarette Output Type-C PD 45W Max
300W Max TIV-17V 10A Max ee fel a)
Light, TV, Drone,
Electric Scooter 2 x 5.5mm DC Output
TIV-17V 10A Max Each
Ee USB-A QC 3.0 18W Max

8 Car Vacuum Cleaner 2 x USB-A 5V 2.4A Max Each
PF

ee)

Smartphone, Tablet, Mini Fan,Camera

eM Clog? o

 
","230.0 volt, -17.0 volt, -17.0 volt, 5.0 volt"
722,https://m.media-amazon.com/images/I/71Svyb9HpEL.jpg,186035,voltage,230.0 volt,"Sn ES

bana

 
","230.0 volt, -17.0 volt, -17.0 volt, 5.0 volt"
999,https://m.media-amazon.com/images/I/81fYO+HP5QL.jpg,186035,voltage,0.5 volt," 
","230.0 volt, -17.0 volt, -17.0 volt, 5.0 volt"
724,https://m.media-amazon.com/images/I/71HMCudrCOL.jpg,186035,voltage,18.0 volt," 

Solar Charger

(Not included)

Car Charger
Adapter

(Included)

AC/DC Adapter
18V/3A

 

(Included)

Type-C PD Charger
45W Max

(Not included)

 

 

 

Two Ports
Recharging
Together:

  
","230.0 volt, -17.0 volt, -17.0 volt, 5.0 volt, 18.0 volt"
1000,https://m.media-amazon.com/images/I/81fYO+HP5QL.jpg,186035,voltage,0.5 volt," 
","230.0 volt, -17.0 volt, -17.0 volt, 5.0 volt, 18.0 volt"
390,https://m.media-amazon.com/images/I/71uSbcePMFL.jpg,192132,item_weight,400.0 gram,"<—— 70mm/2. 75inch —»|

Lovers Oracle

5 968
(

Y

Heart-Shaped
Fortune Telling Cards

 

We use durable 400 GSM paper
",
689,https://m.media-amazon.com/images/I/719eCXnYG8L.jpg,204245,maximum_weight_recommendation,240 kilogram,"SEATS UP TO 3

Three-seater design provides room to relax with friends

 

 

Weight Capacity
240kg

eo
(@)

Seats Up to3

 
",240.0 kilogram
530,https://m.media-amazon.com/images/I/71hQMF-ovpL.jpg,204245,maximum_weight_recommendation,25 kilogram," 
   

Side Grip Provides more
Durability and Lifting
",240.0 kilogram
109,https://m.media-amazon.com/images/I/81yG9eUKvxL.jpg,208023,item_weight,2.5 kilogram,"INAV

=
©
<<

 

ZANANA

PARENTS
Vishal & Ranu

 
",
154,https://m.media-amazon.com/images/I/61HisZt9hcL.jpg,208023,item_weight,3.59 kilogram,"PICTURE FRAME SIZE DIAGRAM

(This set of photo wall free installation accessories)

170cm

 

 

 

 

 

 

 

 

 

 

 

 

a
a
3
Overall size: 69x170cm; weight about 3.59kg
ausnkay Diameter size Inner diameter size Side width Thick side Material
A‘6 11.6X15.5cm 8.9X12.7cm 1.8cm 1.8cm Solid wood
B*4 15.7*20.8cm 12.7X17.8cm 1.8cm 1.8cm Solid wood
Ct 23*28cm 20.3X25.4cm 1.8cm 1.8cm Solid wood
Square*1 18X18cm 15.2X15.2cm 1.8cm 2cm Solid wood
Detals of the hanging parameters incuded in the photo wall
Ornament name Number size Material Remarks.
“famiy""etter i 20*20*0.5em Wood plastic board
""do what*board ‘ 30*40*0.5cm Wood plastic board
Sikaves Group 4 ea Wood plastic board

 

 

 

 

 
",3.59 kilogram
702,https://m.media-amazon.com/images/I/81xEx2YLEKL.jpg,208023,item_weight,300.0 gram,"Jits 4 x 6 inch photos

300 GSM thick cardboard

  

ye TAT
",3.59 kilogram
326,https://m.media-amazon.com/images/I/81MuNrz5V4L.jpg,211213,wattage,800.0 watt,"  

MULTIFUNCTI
800 W microwav

for heating, cooking ©
and grilling

 
",800.0 watt
325,https://m.media-amazon.com/images/I/81-qTUhd0eL.jpg,211213,wattage,1000.0 watt," 

GRILL FUNCTION
1000 W barbecue for crispy grilled dishes
","800.0 watt, 1000.0 watt"
386,https://m.media-amazon.com/images/I/81yGnWN1gpL.jpg,225091,item_weight,4.0 kilogram,"    

 

of” ag S =
GOLZZLAL

 

   

-Elimina zecche e

-Repelle zecche, zanzare,

pulci.

flebotomi e mosche

cavalline.

Principi attivi:
40mg di imidacloprid,
200 MS di permetrina

  

   
",40.0 milligram
387,https://m.media-amazon.com/images/I/71iJwszcKmL.jpg,225091,item_weight,4.0 kilogram,"   
 

ADVANTIX SPOT-ON PER CANI
FINOA4 KG

Antiparassitario spot on contro putci, zecche
@ zanzare

Nome: Advantix spot-on per cani

fino a4 KG

Prodotto destinato esclusivamente a: cani
Indic azione: antiparassitario per uso estermo
Confezione: 4 pipette monodose

 

Per la prevenzione ed il trattsmento delle intestazioni da
pulcl, uccide € repelle le zecche, repellerte nei
confronti di zanzare € flebotomi, repellente nei
confronti della mosce cavallina nei cani.

 

 

 

* Repelie ed elimina le zecche riducendo il rischio di trasmissione di malattie come
berrefosi, rickettsiosi, ehrlichiosi

*Repellente cortro zanzare e flebotomi, riduce # rischio di trasméssione oll malsttle
come la letshmaniosi

*Pud essere ulllzzsto quale parte deta strategis ch trattamento della der matite
sllergica ds puci

*Effetto larvickda di Imidacioprid contro Ie pulci nelMambiente frequentato dal cane

*Pud essere usato in cagne in gravidenze ¢ in allattamento

*Efficace anche se il cane sibagna

li trattamerto va ripetuto, @ seconda dei parassiti, ogi 2-3-4- settmare

Per spprotondimenti; Clices qu per vedere to spot pubibilicitaria televisivo,
Cliccs qui per vedere l'opuscoto informative:

 

Come si applica

5 © | Wt prodotto va appitoate in un unico punto tra le scape.

| Rpanire il rantello fino a rendere visibile Is cute. Appoggiare lestremia della piperts
bas sulla cute © spremere pil volte $no a swuotare tutto il contenuto,

2 (| tila fine del'apptoazione ccetrollare di aver swuotato completamente la pipetta

‘hn rare occasion), 2 possibile che il cane abbis prurto nelts zons di apphcazione
La sensazione & transitoria € scompare in poco tempo

No er ot

E un medicinete veternario: chiedi consigio al tuo veterinario.

Leagere attentamente le avvertenze nei fogiio ilustratvo. Tener tuori dalla portste
dei bambini ed usare particolare sttenzione tinché il sto di appiicszione non sta
‘aschitto, Lluso scorretto pud essere nocivo, Aut, Pub. N. 4/VET/2007

 
","40.0 milligram, 4.0 kilogram"
366,https://m.media-amazon.com/images/I/715DgMR-hkL.jpg,226504,item_weight,10.5 kilogram,"PRODUCT DIMENSIONS

 

IAA
320 * }
mm 250 mm

WEIGHT: 10.5 KG
VOLUME: 20 L
",10.5 kilogram
989,https://m.media-amazon.com/images/I/61JI3Ux9fkL.jpg,237000,item_weight,2.0 gram,"Please measure your couch

before purchasing

 

fe fe Fe
ef — y
i Eve pai

Sofa Loveseat Armchair
",
707,https://m.media-amazon.com/images/I/81UdkupMS5L.jpg,237000,item_weight,200.0 kilogram,"CUSCINI COPRISEDIA
UNICA MISURA MADE IN ITALY ©)

CUSCINO IMBOTTITO CON LEGACCI

PESO : 0,200 Kg
MISURA : 40x40x5 Cm
MISURA LEGACCIO : 30 Cm
NON SFODERABILE
50 % COTONE

CA
y

 

50 % POLIESTERE

40 Cm BO | | |

| Zz c\O Ni fe
| pecne |

iG
| Vv

5 Cm
40 Cm PRODOTTO IN ITALIA

WARES

 
",200.0 kilogram
700,https://m.media-amazon.com/images/I/61FiMnTBJPL.jpg,237000,item_weight,3.0 gram,"Please measure your couch

before purchasing

 

G3 G2 G1
H3 H2 H2
wy | | > & | Kt, |
. 7 _ 7 i : ~ f-— mL
fg oaks Eg fe fae

Sofa Loveseat Armchair
","200.0 kilogram, 3.0 gram, 2.0 gram"
519,https://m.media-amazon.com/images/I/61iEby7IFnL.jpg,237000,item_weight,180.0 gram,"Le sac
en papier

 

 

Lesac)
en papier

 

 

Ce sic est fabriqué
4 partir de papier veectal
100 % naturel,

Double épaisseur 180g/nt:

Kraft blanc doublé
de kraft bran,
Contenans

 

33 litres.
100 % Beographik
lc jetez pas.

 

1 peut servir plusicurs fois.

 

1

«

 

M papier

 

>|

 
","200.0 kilogram, 3.0 gram, 2.0 gram, 180.0 gram"
855,https://m.media-amazon.com/images/I/61Lh+DaAq3L.jpg,237000,item_weight,2.0 gram,"Please measure your couch

before purchasing

 

H3 H2 H2
ge wg | fee | gL fel
fe —
— Evie pam

Sofa Loveseat Armchair
","200.0 kilogram, 3.0 gram, 2.0 gram, 180.0 gram"
48,https://m.media-amazon.com/images/I/91cErO-KbLL.jpg,237000,item_weight,200.0 gram,"JACQUARD
KNITTED MATERIAL

Super soft and comfortable creating a
custom upholstered look

200GSM
Microfiber

 
","200.0 kilogram, 3.0 gram, 2.0 gram, 180.0 gram"
187,https://m.media-amazon.com/images/I/71ihnkVAoCL.jpg,241608,item_weight,460.0 gram," 
",
517,https://m.media-amazon.com/images/I/71gvmYk-SzL.jpg,241608,item_weight,16.0 gram," 

18G 206

   

Lordear

  

i

X-shape long waterlines 16 gauge heavy duty sink Workstation design
4 corners water tlow into Superior quality material commercial Ledges track provides
the drain fast grade finish,long lasting and scratch & — more space to use
no blockge stain resistance

@

 
",18.0 gram
99,https://m.media-amazon.com/images/I/71jG8BOi4WL.jpg,241608,item_weight,16.0 gram,"16G Thick High Grade 304 Stainless Steel

 

— Water Repellent — — Stain Resistant & Anti-bacterial Protection ——
","18.0 gram, 16.0 gram"
785,https://m.media-amazon.com/images/I/61ihd4f5upL.jpg,245959,item_weight,0.65 kilogram,"Product parameters

   

35cm
13.65inch

Alcm 19cm
15.99inch 7.41inch
",
397,https://m.media-amazon.com/images/I/716Gw2+1EzL.jpg,249638,item_weight,35.0 gram,"Thick and Soft Silicone Material
Protect the Phone

a
Rea
<
Ye .
—

 

= Reserved Charging Port

Suitable for all smartphones from 4.7 to 6.8 inches

 
",
22,https://m.media-amazon.com/images/I/61wzlucTREL.jpg,252585,item_volume,4.0 gallon,"ONE SIZE FITS ALL

STRETCHABLE AND BLACK FABRIC BLOCKS
FORM FITTING THE LIGHT

 

EXPERT-GRADE GEL
NON-TOXIC NO SMELL

 

FLEXIBLE COMFORTABLE FOR
COLD OR HOT THERAPY .
3.11n

ul e’G

 

22.2 in
",
402,https://m.media-amazon.com/images/I/71qMt6EnwlL.jpg,252782,item_weight,240.0 gram,"fleece lined+
240g cotton

Breathable & Warm

The fleece lined is breathable and
wouldnt make your hand sweat
but keep warm

  
  
 
 
  
",240.0 gram
417,https://m.media-amazon.com/images/I/71u9qpY7TtL.jpg,252782,item_weight,2.0 kilogram," 

Multi-Functiony

Suit for Work Out
Exercise,
Training,
Fitness,

Bodybuilding,
Cycling ,
Weight Lifting

 
",240.0 gram
282,https://m.media-amazon.com/images/I/41UtmzUICML.jpg,254449,item_weight,76.0 ounce," 
",
281,https://m.media-amazon.com/images/I/61jznP3TP-L.jpg,254449,item_weight,50.0 gram,"Measure about a
pea-sized ball

Dissolve in lukewarm or cold,
pure water or milk and drink

VALU EY

Himalayan

Lento

 

 
",
280,https://m.media-amazon.com/images/I/61t+5wQl08L.jpg,254449,item_weight,500.0 milligram,"STH

Containing above 85 minerals, Natural
Testosterone Booster, Anti-aging, Anti-
diabetic, Mental & Physical Rejuvenation,

Stress & Anxiety Reduction, Cure of
thousand diseases & weakness.

Dosage:

Take Pea-nut Sized portion (500 mg).
Dissolve it in hot water, milk or Juice. Drink
iton empty stomach every morning.

Product Origin : Ladakh (J&K)

 
",500.0 milligram
279,https://m.media-amazon.com/images/I/41o+Ah16aOL.jpg,254449,item_weight,50.0 gram," 
",500.0 milligram
908,https://m.media-amazon.com/images/I/716qUzSp+GL.jpg,254449,item_weight,6.0 gram,"     
    
    
   
   
   
         

wt

 

Moda ds: pe
ue =

Moers Salts

deluso, <
vceiixem I Flovadix®
inte

te3a KIDS

‘Omial gin.

     

consent

    
   
 
  
   
   
  

 

 

ferro contribuisce al
Da7aSami normale sviluppo cognitivo dm Per etre a
‘Smal gon, ‘dei bambini femera I
Intagatore richudere
alinentare

nfigarter ©

 
 
 
    
 
    
    
    
   
   
   
   
 
    
   
 
 
   

 
 

Assure meztora
pitadun psa
lontano da café. 0 a
tere,

Non sper
dose jonas
tecaandata

Glintegrato
iment ron vanno
intescomesostut
ata ara ream
libata e dun roduttore:
shasta SALUS Haus

83052 Bruck | Germania
Tenerefuor dala

‘nsoshauscom

Fora de babi

be : Distt do:

oie Eurosalus Italia | da consumr
a Frand, 66: 37024 Negra) | preter

tot i corosabstaat | ent fn

 

 
",500.0 milligram
278,https://m.media-amazon.com/images/I/61xt0+F24LL.jpg,254449,item_weight,50.0 gram,"VALLEY

Himalayan

aw

50 GMS (1.76 OZ)

 
","500.0 milligram, 1.76 ounce"
457,https://m.media-amazon.com/images/I/71oR4f2O8TL.jpg,254449,item_weight,36.0 gram," 

 

 

 

Verzehrempfehlung: | Tablette taglich.
Zutaten: Kaliumjodid, Cellulose (MCC, HPMC)
Ohne kiinstliche Zusatzstoffe. Vegan.
Nahrungserganzungsmittel sind kein Ersatz fiir eine
ausgewogene Ernahrung und gesunde Lebensweise.
Die empfohlene Verzehrmenge darf nicht Uberschrit-
ten werden. Auferhalb der Reichweite von kleinen
Kindern aufbewahren. Kihl und trocken lagern.
Charge/ Mindestens haltbar bis: siehe Boden

Nahrungserganzungsmittel

180
Tabletten

 

 

Jod 300g

hochdosiert

200

* NRV = Nahrstoffreferenzwert (in %).
Hersteller: Greenfood Natural Products BV,
Fischerpad 109, NL-6135 KS Sittard. Weitere

Informationen unter:
www.greenfood-shop.de

Made in EU

X0008VC30T |

3100-1180
","500.0 milligram, 1.76 ounce, 300.0 gram"
